comment,"1 kg H2 produced using a PEM electrolyzer. Original source: 1 MW PEM electrolyzer based on Niklas Gerloff, Comparative Life-Cycle-Assessment analysis of three major water electrolysis technologies while applying various energy scenarios for a greener hydrogen production, Journal of Energy Storage, Volume 43, 2021, https://doi.org/10.1016/j.est.2021.102759.
Further refined (with respect to stack and system lifetime and water use, notably) from data from manufacturer's specifications (see tab ""Manufacturers' data"") and IndWEDe project report (https://www.now-gmbh.de/wp-content/uploads/2020/09/181127_bro_a4_indwede-studie_kurzfassung_de_v03.pdf). For further secifications (e.g., efficiency, lifetime, etc.), see tab ""Final specifications"".",,,,,,,,,,
reference product,"hydrogen, gaseous, 30 bar",,,,,,,,,,
location,CH,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,comment,,,,
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity, imported, EP2050",1.00E+00,CH,kilogram,,production,"hydrogen, gaseous, 30 bar",,,,,
"electrolyzer production, 1MWe, PEM, Stack",1.35E-06,RER,unit,,technosphere,"electrolyzer, 1MWe, PEM, Stack","Stack, 5.5 years lifetime.",,,,
"electrolyzer production, 1MWe, PEM, Balance of Plant",3.37E-07,RER,unit,,technosphere,"electrolyzer, 1MWe, PEM, Balance of Plant","BoP, 20 years lifetime.",,,,
"treatment of fuel cell stack, 1MWe, PEM",-1.35E-06,RER,unit,,technosphere,"used fuel cell stack, 1MWe, PEM",Stack EoL,,,,
"treatment of fuel cell balance of plant, 1MWe, PEM",-3.37E-07,RER,unit,,technosphere,"used fuel cell balance of plant, 1MWe, PEM",BoP EoL,,,,
"market group for electricity, low voltage",5.40E+01,RER,kilowatt hour,,technosphere,"electricity, low voltage",Electricity consumption with 61.7% eff.,,,,
"market for water, deionised",1.40E+01,Europe without Switzerland,kilogram,,technosphere,"water, deionised","A perfect reaction of H2O results in 1 kg H2 and 8 kg O2, and needs 9 kg H2O, however, considering some losses we assume 14 kg H2O (Simoes et al., 2021). ",,,,
Oxygen,8.00E+00,,kilogram,air,biosphere,,,,,,
"Occupation, unspecified",6.07E-04,,square meter-year,natural resource::land,biosphere,,,,,,
,,,,,,,,,,,
Activity,"diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation, EP2050",,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Diesel, synthetic",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
location,CH,,,,,,,,,,
comment,"Adapted from van der Giesen et al. 2014. LHV: 43.3 MJ/kg, Formula: C13H18, Density: 7551 kg/m3. Energy-based allocation between 3 other co-products. Allocation key for this co-product: 37%. Post corrected to preserve carbon balance.",,,,,,,,,,
source,"Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2, Coen van der Giesen, René Kleijn, and Gert Jan Kramer, Environmental Science & Technology 2014 48 (12), 7111-7121, DOI: 10.1021/es500191g",,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,database,comment,,,
"diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation, EP2050",1,CH,kilogram,,production,"Diesel, synthetic",Car db,From PEM electrolysis,,,
"Syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis, EP2050",2.26,CH,kilogram,,technosphere,"Syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis",Car db,,,,
Gas-to-liquid plant construction,6.70E-12,GLO,unit,,technosphere,Gas-to-liquid plant,Car db,,,,
"Carbon dioxide, in air",0.05,,kilogram,natural resource::in air,biosphere,,biosphere3,,,,
,,,,,,,,,,,
Activity,"syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis, EP2050",,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
location,CH,,,,,,,,,,
comment,Adapted from van der Giesen et al. 2014. Density of syngas: 0.470kg/m3 @1 bar. LHV: 23.9 MJ/kg.,,,,,,,,,,
source,"Energy and Climate Impacts of Producing Synthetic Hydrocarbon Fuels from CO2, Coen van der Giesen, René Kleijn, and Gert Jan Kramer, Environmental Science & Technology 2014 48 (12), 7111-7121, DOI: 10.1021/es500191g",,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,,,,,
"carbon monoxide, from RWGS, for Fischer Tropsch process, hydrogen from electrolysis, EP2050",0.875,CH,kilogram,,technosphere,"Carbon monoxide, from RWGS",,,,,
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity",0.125,RER,kilogram,,technosphere,"hydrogen, gaseous, 30 bar",,,,,
"syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis, EP2050",1,CH,kilogram,,production,"Syngas, RWGS, Production, for Fischer Tropsch process, hydrogen from electrolysis",,,,,
RWGS tank construction,0.00000571,GLO,unit,,technosphere,,,,,,
,,,,,,,,,,,
Activity,"Carbon monoxide, from RWGS, for Fischer Tropsch process, hydrogen from electrolysis, EP2050",,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"carbon monoxide, from RWGS",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
location,CH,,,,,,,,,,
comment,Adapted from van der Giesen et al. 2014. Density of syngas: 0.470kg/m3 @1 bar. LHV: 23.9 MJ/kg.,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,,,,,
"carbon monoxide, from RWGS, for Fischer Tropsch process, hydrogen from electrolysis, EP2050",1,CH,kilogram,,production,"Carbon monoxide, from RWGS",,,,,
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity",0.07,RER,kilogram,,technosphere,"hydrogen, gaseous, 30 bar",,,,,
"carbon dioxide, captured from atmosphere, with a solvent-based direct air capture system, 1MtCO2, EP2050",1.57,CH,kilogram,,technosphere,"carbon dioxide, captured from atmosphere",,,,,
fixed bed reactor for RWGS,1.93E-09,RER,unit,,technosphere,Fixed bed reactor,,,,,
,,,,,,,,,,,
Activity,"carbon dioxide, captured from atmosphere, with a solvent-based direct air capture system, 1MtCO2, EP2050",,,,,,,,,,
location,CH,,,,,,,,,,
unit,kilogram,,,,,,,,,,
reference product,"carbon dioxide, captured from atmosphere",,,,,,,,,,
comment,"Based on a solvent-based DAC facility with annual capture capacity of 1 Mt CO2 and lifetime of 20 years. Qiu, Y., Lamers, P., Daioglou, V. et al. Environmental trade-offs of direct air capture technologies in climate change mitigation toward 2100. Nat Commun 13, 3635 (2022). https://doi.org/10.1038/s41467-022-31146-1",,,,,,,,,,
source,"Qiu, Y., Lamers, P., Daioglou, V. et al. Environmental trade-offs of direct air capture technologies in climate change mitigation toward 2100. Nat Commun 13, 3635 (2022). https://doi.org/10.1038/s41467-022-31146-1",,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,comment,,,,
"carbon dioxide, captured from atmosphere and stored, with a solvent-based direct air capture system, 1MtCO2, EP2050",1,CH,kilogram,,production,"carbon dioxide, captured from atmosphere",,,,,
"direct air capture system, solvent-based, 1MtCO2",5.00E-11,RER,unit,,technosphere,direct air capture system,,,,,
"treatment of direct air capture system, solvent-based, 1MtCO2",-5.00E-11,RER,unit,,technosphere,direct air capture system,,,,,
market for tap water,3.437,Europe without Switzerland,kilogram,,technosphere,tap water,,,,,
market for potassium hydroxide,0.004,GLO,kilogram,,technosphere,potassium hydroxide,"waste heat, burden-free",,,,
"market for limestone, crushed, for mill",0.0035,CH,kilogram,,technosphere,"limestone, crushed, for mill",scaled down to compress to 25 bar,,,,
"market group for electricity, medium voltage",0.345,RER,kilowatt hour,,technosphere,"electricity, medium voltage",of which 0.078kWh to compress CO2 from 1 atm to 25 bar,,,,
"heat production, natural gas, at industrial furnace >100kW",6.28,Europe without Switzerland,megajoule,,technosphere,"heat, district or industrial, natural gas",,,,,
"carbon dioxide compression, transport and storage",1,RER,kilogram,,technosphere,"carbon dioxide, stored",sorbant,,,,
"Carbon dioxide, in air",1,,kilogram,natural resource::in air,biosphere,,,,,,
"Carbon dioxide, non-fossil",2.10E-02,,kilogram,air::urban air close to ground,biosphere,,pipeline of 1 km long,,,,
,,,,,,,,,,,
Activity,"diesel production, synthetic, from Fischer Tropsch process, hydrogen from electrolysis, energy allocation, at fuelling station, EP2050",,,,,,,,,,
location,CH,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"diesel, synthetic, vehicle grade",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,,,,,
"diesel production, synthetic, from Fischer Tropsch process, hydrogen from electrolysis, energy allocation, at fuelling station, EP2050",1,CH,kilogram,,production,"diesel, synthetic, vehicle grade",,,,,
"Diesel production, synthetic, Fischer Tropsch process, hydrogen from electrolysis, energy allocation, EP2050",1.00057,CH,kilogram,,technosphere,"Diesel, synthetic",,,,,
"market group for electricity, low voltage",0.0067,RER,kilowatt hour,,technosphere,"electricity, low voltage",,,,,
market for fly ash and scrubber sludge,-0.000168,Europe without Switzerland,kilogram,,technosphere,fly ash and scrubber sludge,,,,,
"market for heat, central or small-scale, other than natural gas",0.000584,CH,megajoule,,technosphere,"heat, central or small-scale, other than natural gas",,,,,
"infrastructure construction, for regional distribution of oil product",2.60E-10,RER,unit,,technosphere,"infrastructure, for regional distribution of oil product",,,,,
market for municipal solid waste,-0.00000627,CH,kilogram,,technosphere,municipal solid waste,,,,,
market for rainwater mineral oil storage,-0.000075,Europe without Switzerland,cubic meter,,technosphere,rainwater mineral oil storage,,,,,
market for tap water,0.000689,Europe without Switzerland,kilogram,,technosphere,tap water,,,,,
"market for transport, freight train",0.0336,Europe without Switzerland,ton kilometer,,technosphere,"transport, freight train",,,,,
"market for transport, freight, lorry, unspecified",0.0326,RER,ton kilometer,,technosphere,"transport, freight, lorry, unspecified",,,,,
"treatment of wastewater, average, wastewater treatment",-0.000000689,Europe without Switzerland,cubic meter,,technosphere,"wastewater, average",,,,,
"Carbon dioxide, non-fossil",0.0017898,,kilogram,air,biosphere,,,,,,
,,,,,,,,,,,
Activity,"methanol distillation, hydrogen from electrolysis, CO2 from DAC, EP2050",,,,,,,,,,
production amount,1,,,,,,,,,,
comment,LHV: 19.9 MJ/kg,,,,,,,,,,
reference product,"methanol, purified",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
source,"Methanol process adapted from Comparative well-to-wheel life cycle assessment of OME3–5 synfuel production via the power-to-liquid pathway, Hank et al. 2019. https://doi.org/10.1039/C9SE00658C",,,,,,,,,,
location,CH,,,,,,,,,,
comment,"Adapted from Comparative well-to-wheel life cycle assessment of OME3–5 synfuel production via the power-to-liquid pathway, Hank et al. 2019
assumptions: uses a high temperature heat pump (MAJOR assumption) with a CoP of 2.9.",,,,,,,,,,
source,"Comparative well-to-wheel life cycle assessment of OME3–5 synfuel production via the power-to-liquid pathway. Christoph Hank, Lukas Lazar, Franz Mantei, Mohamed Ouda, Robin J. White, Tom Smolinka, Achim Schaadt, Christopher Hebling and Hans-Martin Henning. 2019. https://doi.org/10.1039/C9SE00658C",,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,database,,,,
"methanol synthesis, hydrogen from electrolysis, CO2 from DAC, EP2050",1,CH,kilogram,,technosphere,"methanol, unpurified",LPG,,,,
"methanol distillation, hydrogen from electrolysis, CO2 from DAC, EP2050",1,CH,kilogram,,production,"methanol, purified",LPG,,,,
"market for electricity, low voltage",0.336206897,CH,kilowatt hour,,technosphere,"electricity, low voltage",,,,,
"Carbon dioxide, non-fossil",0.132067588,,kilogram,air,biosphere,,biosphere3,,,,
"Carbon monoxide, non-fossil",1.67E-06,,kilogram,air,biosphere,,biosphere3,,,,
"methanol production facility, construction",12.45682789,RER,unit,,technosphere,"methanol production facility, construction",LPG,,,,
,,,,,,,,,,,
Activity,"methanol synthesis, hydrogen from electrolysis, CO2 from DAC, EP2050",,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"methanol, unpurified",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
location,CH,,,,,,,,,,
comment,"Adapted from Comparative well-to-wheel life cycle assessment of
OME3–5 synfuel production via the power-to-liquid
pathway, Hank et al. 2019",,,,,,,,,,
source,"Comparative well-to-wheel life cycle assessment of OME3–5 synfuel production via the power-to-liquid pathway. Christoph Hank, Lukas Lazar, Franz Mantei, Mohamed Ouda, Robin J. White, Tom Smolinka, Achim Schaadt, Christopher Hebling and Hans-Martin Henning. 2019. https://doi.org/10.1039/C9SE00658C",,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,,,,,
"methanol production facility, construction",12.89,RER,unit,,technosphere,"methanol production facility, construction",,,,,
"methanol synthesis, hydrogen from electrolysis, CO2 from DAC, EP2050",1,CH,kilogram,,production,"methanol, unpurified",,,,,
market for tap water,68.81959911,Europe without Switzerland,kilogram,,technosphere,tap water,,,,,
"market for electricity, low voltage",0.302895323,CH,kilowatt hour,,technosphere,"electricity, low voltage",,,,,
market for zinc oxide,7.93E-06,GLO,kilogram,,technosphere,zinc oxide,,,,,
market for copper oxide,2.11E-05,GLO,kilogram,,technosphere,copper oxide,,,,,
"market for aluminium oxide, metallurgical",3.96E-06,"IAI Area, EU27 & EFTA",kilogram,,technosphere,"aluminium oxide, metallurgical",,,,,
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity",0.138975501,RER,kilogram,,technosphere,"hydrogen, gaseous, 30 bar",,,,,
"carbon dioxide, captured from atmosphere, with a solvent-based direct air capture system, 1MtCO2, EP2050",1.690423163,CH,kilogram,,technosphere,"carbon dioxide, captured from atmosphere",,,,,
"treatment of wastewater, average, wastewater treatment",-0.068819599,Europe without Switzerland,cubic meter,,technosphere,"wastewater, average",,,,,
,,,,,,,,,,,
Activity,"gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, EP2050",,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"gasoline, synthetic",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
location,CH,,,,,,,,,,
comment,"CO2 emission factor: 3.14 kg/kg fuel. Co-product of Methanol-to-Gasoline process. Methanol from hydrogen and CO. CO from direct air capture. Co-produced together with diesel, LPG and kerosene, but optimized for gasoline production. Allocation key for gasoline: 47%. Carbon balance correction applied.",,,,,,,,,,
source,https://www.fvv-net.de/fileadmin/user_upload/medien/materialien/FVV-Kraftstoffstudie_LBST_2013-10-30.pdf,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,database,reference product,comment,,,
"gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, EP2050",1,CH,kilogram,,production,Methanol-based fuels,"gasoline, synthetic",,,,
"methanol distillation, hydrogen from electrolysis, CO2 from DAC, EP2050",2.371,CH,kilogram,,technosphere,Methanol-based fuels,"methanol, purified",,,,
"Carbon dioxide, non-fossil",0.11,,kilogram,air,biosphere,biosphere3,,"To close the carbon balance, as there is 1.55 kg of CO2 per kg of methanol.",,,
"market for electricity, low voltage",0.0436264,CH,kilowatt hour,,technosphere,ecoinvent,"electricity, low voltage",,,,
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity",0.02371,RER,kilogram,,technosphere,ecoinvent,"hydrogen, gaseous, 30 bar","hydrogen, 4kg per ton of methanol processed",,,
,,,,,,,,,,,
Activity,"gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, at fuelling station, EP2050",,,,,,,,,,
location,CH,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"gasoline, synthetic, vehicle grade",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,reference product,,,,,
"gasoline production, synthetic, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, at fuelling station, EP2050",1,CH,kilogram,,production,"gasoline, synthetic, vehicle grade",,,,,
"gasoline production, from methanol, hydrogen from electrolysis, CO2 from DAC, energy allocation, EP2050",1.00057,CH,kilogram,,technosphere,"gasoline, synthetic",,,,,
"market for electricity, low voltage",0.0067,CH,kilowatt hour,,technosphere,"electricity, low voltage",,,,,
market for fly ash and scrubber sludge,-0.000168,Europe without Switzerland,kilogram,,technosphere,fly ash and scrubber sludge,,,,,
"market for heat, central or small-scale, other than natural gas",0.000584,CH,megajoule,,technosphere,"heat, central or small-scale, other than natural gas",,,,,
"infrastructure construction, for regional distribution of oil product",2.60E-10,RER,unit,,technosphere,"infrastructure, for regional distribution of oil product",,,,,
market for municipal solid waste,-0.00000627,CH,kilogram,,technosphere,municipal solid waste,,,,,
market for rainwater mineral oil storage,-0.000075,Europe without Switzerland,cubic meter,,technosphere,rainwater mineral oil storage,,,,,
market for tap water,0.000689,Europe without Switzerland,kilogram,,technosphere,tap water,,,,,
"market for transport, freight train",0.0336,Europe without Switzerland,ton kilometer,,technosphere,"transport, freight train",,,,,
"market for transport, freight, lorry, unspecified",0.0326,RER,ton kilometer,,technosphere,"transport, freight, lorry, unspecified",,,,,
"treatment of wastewater, average, wastewater treatment",-0.000000689,Europe without Switzerland,cubic meter,,technosphere,"wastewater, average",,,,,
"Carbon dioxide, non-fossil",0.0017898,,kilogram,air,biosphere,,,,,,
,,,,,,,,,,,
Activity,"methane, synthetic, gaseous, 5 bar, from electrochemical methanation, at fuelling station, EP2050",,,,,,,,,,
location,CH,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"methane, high pressure",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
comment,"This includes the distribution to the fuelling station, the pipeline, the losses during distribution (assumed to be 2%), the fuelling station infrastructure, and the losses at the fuelling station, all taken and aggregated from ecoinvent.",,,,,,,,,,
source,"Life cycle assessment of power-to-gas with biogas as the carbon source. Xiaojin Zhang, Julia Witte, Tilman Schildhauer and Christian Bauer. https://doi.org/10.1039/C9SE00986H",,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,categories,unit,type,reference product,,,,
"methane, synthetic, gaseous, 5 bar, from electrochemical methanation, at fuelling station, EP2050",1,syngas,CH,,kilogram,production,"methane, high pressure",,,,
"methane, from electrochemical methanation, with carbon from atmospheric CO2 capture, EP2050",1.02,syngas,CH,,kilogram,technosphere,"methane, from electrochemical methanation",,,,
"market for electricity, medium voltage",0.209888988,ecoinvent,CH,,kilowatt hour,technosphere,"electricity, medium voltage",,,,
"market for heat, central or small-scale, biomethane",0.041393706,ecoinvent,CH,,megajoule,technosphere,"heat, central or small-scale, biomethane",,,,
"pipeline construction, natural gas, high pressure distribution network",2.34E-08,ecoinvent,RoW,,kilometer,technosphere,"pipeline, natural gas, high pressure distribution network",,,,
market for natural gas service station,8.48E-08,ecoinvent,GLO,,unit,technosphere,natural gas service station,,,,
"Carbon dioxide, non-fossil",1.39E-05,biosphere3,,air,kilogram,biosphere,,,,,
Hydrogen sulfide,4.40E-09,biosphere3,,air,kilogram,biosphere,,,,,
"Methane, non-fossil",0.00030042,biosphere3,,air,kilogram,biosphere,,,,,
Nitrogen,1.20E-06,biosphere3,,air,kilogram,biosphere,,,,,
,,,,,,,,,,,
Activity,"methane, from electrochemical methanation, with carbon from atmospheric CO2 capture, EP2050",,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"methane, from electrochemical methanation",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
location,CH,,,,,,,,,,
comment,"Originally in cubic meter. Composition: 96% CH4, 4% CO2, Density of gas: .708 kg/Nm3",,,,,,,,,,
source,"Life cycle assessment of power-to-gas with biogas as the carbon source. Xiaojin Zhang, Julia Witte, Tilman Schildhauer and Christian Bauer. https://doi.org/10.1039/C9SE00986H",,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,location,unit,categories,type,uncertainty type,loc,scale,database,reference product,comment
"methane, from electrochemical methanation, with carbon from atmospheric CO2 capture, EP2050",1,CH,kilogram,Power to Gas::4.1 Methanation::Chemical,production,,,,syngas,"methane, from electrochemical methanation",
sabatier reaction methanation unit construction,8.06E-06,RER,unit,Materials/fuels,technosphere,2,-12.07368391,0.418623762,syngas,sabatier reaction methanation unit,
"carbon dioxide, captured from atmosphere, with a solvent-based direct air capture system, 1MtCO2, EP2050",2.768361582,CH,kilogram,Materials/fuels,technosphere,2,0.672944473,0.206054825,syngas,"carbon dioxide, captured from atmosphere",
"hydrogen production, gaseous, 30 bar, from PEM electrolysis, from grid electricity",0.50779661,RER,kilogram,Materials/fuels,technosphere,1,,,syngas,"hydrogen, gaseous, 30 bar",
production of nickel-based catalyst for methanation,0.000176554,RER,kilogram,Materials/fuels,technosphere,2,-8.987196821,0.074210003,syngas,nickel-based catalyst for methanation,
,,,,,,,,,,,
Activity,solution mining for geological hydrogen storage,,,,,,,,,,
location,CH,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,solution mining,,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
comment,"LCI of solution mining for the future storage of 1 kg of hydrogen. Includes mostly the water demand, the water injection and the brine pumping. We use tap water for now, which is probably wrong. The salt cavern is assumed to be 500,000 m3 large. The available hydrogen amount is 4,000 tons per year, with a lifetime of 40 years, for a total capacity of 6,350 tons per year. Hence the inputs are normalized by 4,000 tons * 40 years. Here are some additional parameters. Water demand 10 m³/m³ (Niquet, 1978), Water demand, total 5,000,000 m³, Capacity pump 570 kW (van Ohlen, 2015), Efficiency pump 76 % (Flowserve, 2015), Pumping rate, water 250 m³/h (van Ohlen, 2015), Time for solution mining 20,000 h, Electricity demand pump 750 kWh/h, Electricity demand, total 15,000 MWh",,,,,,,,,,
source,C. Wulf et al. / Journal of Cleaner Production 199 (2018) 431-443,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,categories,unit,type,reference product,,,,
solution mining for geological hydrogen storage,1,ecoinvent,CH,,kilogram,production,solution mining,,,,
"market for electricity, low voltage",0.09375,ecoinvent,CH,,kilowatt hour,technosphere,"electricity, low voltage",,,,
market for tap water,31.25,ecoinvent,Europe without Switzerland,,kilogram,technosphere,tap water,,,,
,,,,,,,,,,,
Activity,geological hydrogen storage,,,,,,,,,,
location,CH,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,hydrogen storage,,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
comment,"LCI of storing 1 kg of hydrogen in a salt cavern. Includes only the electricity to inject the hydrogen in, and pump it out. Some additional parameters: Electricity demand compressor 0.240 kWh/kg H2 (Injection pressure for cavern between 85 and 170 bar. On average 44.25 bar difference of pressure). Electricity demand dryer 0.104 kWh/kg H2 (Hydrogen needs to be dried before reinjection into the pipeline). Lifetime 40 a (Noack et al., 2015; Stolzenburg et al., 2014). Inlet pressure cavern 85 bar. Inlet pressure dryer 50 bar. Electricity demand compressor 0.48 kWh/kg H2 (Injection pressure for pipeline from 50 bar (drier) to 100 bar pipeline).
",,,,,,,,,,
source,C. Wulf et al. / Journal of Cleaner Production 199 (2018) 431-443,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,categories,unit,type,reference product,,,,
geological hydrogen storage,1,ecoinvent,CH,,kilogram,production,hydrogen storage,,,,
"market for electricity, low voltage",0.344,ecoinvent,CH,,kilowatt hour,technosphere,"electricity, low voltage",,,,
